Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,02/04/2024,36.2,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,02/04/2024,36.2,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,02/04/2024,359.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,02/04/2024,180.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,02/04/2024,0.01,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,02/04/2024,0.0,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,02/04/2024,0.0,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,02/04/2024,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,02/04/2024,100.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,02/04/2024,100.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,02/04/2024,0.0,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,02/04/2024,156.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,02/04/2024,933.2,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,02/04/2024,1010.0,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,02/04/2024,92.7,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,02/04/2024,9.39,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,02/04/2024,10.33,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,02/04/2024,9.03,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,02/04/2024,9.39,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,02/04/2024,8.21,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,02/04/2024,40.2,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,03/04/2024,17.3,1
Muralla,Chuvia,L/m2,PP_SUM_1.5m,03/04/2024,17.5,1
Muralla,Dirección do refacho a 10m,º,DV_CONDICION_10m,03/04/2024,0.0,1
Muralla,Dirección do vento predominante a 10m,º,DVP_MODA_10m,03/04/2024,180.0,1
Muralla,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,03/04/2024,0.17,1
Muralla,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,03/04/2024,0.0,1
Muralla,Horas de sol,h,HSOL_SUM_1.5m,03/04/2024,0.0,1
Muralla,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,03/04/2024,100.0,1
Muralla,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,03/04/2024,100.0,1
Muralla,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,03/04/2024,100.0,1
Muralla,Insolación,%,INS_RATIO_1.5m,03/04/2024,0.0,1
Muralla,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,03/04/2024,279.0,1
Muralla,Presión,hPa,PR_AVG_1.5m,03/04/2024,939.33,1
Muralla,Presión reducida,hPa,PRED_AVG_1.5m,03/04/2024,1016.31,1
Muralla,Refacho máximo a 10m,km/h,VV_MAX_10m,03/04/2024,82.7,1
Muralla,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,03/04/2024,10.48,1
Muralla,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,03/04/2024,11.0,1
Muralla,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,03/04/2024,10.19,1
Muralla,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,03/04/2024,10.48,1
Muralla,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,03/04/2024,9.82,1
Muralla,Velocidade do vento a 10m,km/h,VV_AVG_10m,03/04/2024,42.6,1
Muralla,Balance hídrico,L/m2,BH_SUM_1.5m,04/04/2024,26.4,1
