Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,02/04/2023,-3.7,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,02/04/2023,0.0,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,02/04/2023,11.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,02/04/2023,45.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,02/04/2023,3.69,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,02/04/2023,5.67,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,02/04/2023,9.2517,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,02/04/2023,96.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,02/04/2023,52.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,02/04/2023,74.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,02/04/2023,7.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,02/04/2023,73.5,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,02/04/2023,2137.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,02/04/2023,1024.72,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,02/04/2023,1029.41,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,02/04/2023,35.4,1
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,02/04/2023,5.84,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,02/04/2023,16.2,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,02/04/2023,12.35,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,02/04/2023,10.75,1
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,02/04/2023,4.92,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,02/04/2023,7.1,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,03/04/2023,-1.9,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,03/04/2023,0.0,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,03/04/2023,52.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,03/04/2023,45.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,03/04/2023,1.91,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,03/04/2023,4.83,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,03/04/2023,2.1837,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,03/04/2023,84.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,03/04/2023,43.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,03/04/2023,68.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,03/04/2023,4.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,03/04/2023,17.3,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,03/04/2023,863.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,03/04/2023,1015.58,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,03/04/2023,1020.22,1
