Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,02/04/2024,5.0,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,02/04/2024,6.0,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,02/04/2024,215.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,02/04/2024,180.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,02/04/2024,0.98,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,02/04/2024,0.83,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,02/04/2024,1.2332,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,02/04/2024,98.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,02/04/2024,83.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,02/04/2024,90.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,02/04/2024,9.8,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,02/04/2024,696.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,02/04/2024,933.95,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,02/04/2024,1009.84,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,02/04/2024,85.1,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,02/04/2024,7.16,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,02/04/2024,7.1,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,02/04/2024,10.09,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,02/04/2024,8.77,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,02/04/2024,8.65,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,02/04/2024,6.88,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,02/04/2024,37.6,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,03/04/2024,-2.0,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,03/04/2024,0.0,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,03/04/2024,219.0,1
