Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,04/04/2024,3.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,04/04/2024,13.4,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,04/04/2024,988.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,04/04/2024,1008.08,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,04/04/2024,1012.6,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,04/04/2024,74.7,1
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,04/04/2024,9.57,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,04/04/2024,18.59,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,04/04/2024,15.66,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,04/04/2024,16.0,1
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,04/04/2024,13.48,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,04/04/2024,22.8,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,05/04/2024,6.2,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,05/04/2024,10.8,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,05/04/2024,197.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,05/04/2024,180.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,05/04/2024,4.62,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,05/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,05/04/2024,5.1006,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,05/04/2024,91.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,05/04/2024,16.0,2
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,05/04/2024,61.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,05/04/2024,6.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,05/04/2024,40.1,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,05/04/2024,1488.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,05/04/2024,1000.17,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,05/04/2024,1004.61,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,05/04/2024,63.5,1
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,05/04/2024,10.28,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,05/04/2024,26.16,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,05/04/2024,19.22,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,05/04/2024,19.51,1
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,05/04/2024,13.87,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,05/04/2024,20.2,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,06/04/2024,0.6,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,06/04/2024,4.1,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,06/04/2024,185.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,06/04/2024,225.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,06/04/2024,3.55,1
CIS Ferrol,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,06/04/2024,0.0,1
CIS Ferrol,Horas de sol,h,HSOL_SUM_1.5m,06/04/2024,4.3838,1
CIS Ferrol,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,06/04/2024,89.0,1
CIS Ferrol,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,06/04/2024,51.0,1
CIS Ferrol,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,06/04/2024,71.0,1
CIS Ferrol,Índice Ultravioleta máximo,-,IUVX_MAX_1.5m,06/04/2024,5.0,1
CIS Ferrol,Insolación,%,INS_RATIO_1.5m,06/04/2024,34.3,1
CIS Ferrol,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,06/04/2024,1324.0,1
CIS Ferrol,Presión,hPa,PR_AVG_1.5m,06/04/2024,1003.31,1
CIS Ferrol,Presión reducida,hPa,PRED_AVG_1.5m,06/04/2024,1007.82,1
CIS Ferrol,Refacho máximo a 10m,km/h,VV_MAX_10m,06/04/2024,71.6,1
CIS Ferrol,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,06/04/2024,9.88,1
CIS Ferrol,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,06/04/2024,19.11,1
CIS Ferrol,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,06/04/2024,15.15,1
CIS Ferrol,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,06/04/2024,15.36,1
CIS Ferrol,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,06/04/2024,12.57,1
CIS Ferrol,Velocidade do vento a 10m,km/h,VV_AVG_10m,06/04/2024,17.2,1
CIS Ferrol,Balance hídrico,L/m2,BH_SUM_1.5m,07/04/2024,-4.5,1
CIS Ferrol,Chuvia,L/m2,PP_SUM_1.5m,07/04/2024,0.0,1
CIS Ferrol,Dirección do refacho a 10m,º,DV_CONDICION_10m,07/04/2024,171.0,1
CIS Ferrol,Dirección do vento predominante a 10m,º,DVP_MODA_10m,07/04/2024,180.0,1
CIS Ferrol,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,07/04/2024,4.49,1
