Estación,Variable,Unidad,Código,Fecha,Valor,Código de validación
Marco da Curra,Presión,hPa,PR_AVG_1.5m,04/04/2023,943.02,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,04/04/2023,1019.87,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,04/04/2023,45.9,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,04/04/2023,3.07,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,04/04/2023,8.89,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,04/04/2023,14.67,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,04/04/2023,9.73,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,04/04/2023,8.18,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,04/04/2023,3.5,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,04/04/2023,19.9,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,05/04/2023,-4.6,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,05/04/2023,0.0,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,05/04/2023,127.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,05/04/2023,135.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,05/04/2023,4.57,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,05/04/2023,7.33,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,05/04/2023,10.5519,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,05/04/2023,97.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,05/04/2023,16.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,05/04/2023,53.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,05/04/2023,82.9,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,05/04/2023,2201.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,05/04/2023,944.22,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,05/04/2023,1020.53,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,05/04/2023,35.9,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,05/04/2023,0.43,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,05/04/2023,8.79,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,05/04/2023,18.34,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,05/04/2023,11.46,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,05/04/2023,10.58,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,05/04/2023,3.79,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,05/04/2023,17.4,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,06/04/2023,-4.1,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,06/04/2023,0.0,1
Marco da Curra,Dirección do refacho a 10m,º,DV_CONDICION_10m,06/04/2023,137.0,1
Marco da Curra,Dirección do vento predominante a 10m,º,DVP_MODA_10m,06/04/2023,135.0,1
Marco da Curra,Evapotraspiración de referencia,L/m2,ET0_SUM_1.5m,06/04/2023,4.12,1
Marco da Curra,Horas de frío ( <=7ºC),h,HFRIO_RECUENTO_1.5m,06/04/2023,2.5,1
Marco da Curra,Horas de sol,h,HSOL_SUM_1.5m,06/04/2023,11.2356,1
Marco da Curra,Humidade relativa  máxima a 1.5m,%,HR_MAX_1.5m,06/04/2023,76.0,1
Marco da Curra,Humidade relativa  mínima a 1.5m,%,HR_MIN_1.5m,06/04/2023,11.0,1
Marco da Curra,Humidade relativa media a 1.5m,%,HR_AVG_1.5m,06/04/2023,37.0,1
Marco da Curra,Insolación,%,INS_RATIO_1.5m,06/04/2023,87.9,1
Marco da Curra,Irradiación global diaria,10kJ/(m2.día),IRD_SUM_1.5m,06/04/2023,2505.0,1
Marco da Curra,Presión,hPa,PR_AVG_1.5m,06/04/2023,943.87,1
Marco da Curra,Presión reducida,hPa,PRED_AVG_1.5m,06/04/2023,1020.03,1
Marco da Curra,Refacho máximo a 10m,km/h,VV_MAX_10m,06/04/2023,33.5,1
Marco da Curra,Temperatura de orballo a 1.5m,ºC,TO_AVG_1.5m,06/04/2023,-3.79,1
Marco da Curra,Temperatura do solo a -0.1m,ºC,TS_AVG_-0.1m,06/04/2023,8.97,1
Marco da Curra,Temperatura máxima a 1.5m,ºC,TA_MAX_1.5m,06/04/2023,16.6,1
Marco da Curra,Temperatura media a 0.1m,ºC,TA_AVG_0.1m,06/04/2023,11.92,1
Marco da Curra,Temperatura media a 1.5m,ºC,TA_AVG_1.5m,06/04/2023,11.09,1
Marco da Curra,Temperatura mínima a 1.5m,ºC,TA_MIN_1.5m,06/04/2023,5.98,1
Marco da Curra,Velocidade do vento a 10m,km/h,VV_AVG_10m,06/04/2023,16.2,1
Marco da Curra,Balance hídrico,L/m2,BH_SUM_1.5m,07/04/2023,-5.3,1
Marco da Curra,Chuvia,L/m2,PP_SUM_1.5m,07/04/2023,0.0,1
