AYUNTAMIENTO,PROVINCIA,CCAA,RÉGIMEN DEDICACIÓN,TOTAL PERCIBIDO
Agost,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"38.902,92"
Agres,Alacant/Alicante,Comunitat Valenciana,Parcial,"679,46"
Aigües,Alacant/Alicante,Comunitat Valenciana,Parcial,"10.949,48"
Albatera,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Alcalalí,Alacant/Alicante,Comunitat Valenciana,Parcial,"23.999,64"
Alcocer de Planes,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"150,00"
Alcoleja,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"3.000,00"
ALCOY/ALCOI,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Alfafara,Alacant/Alicante,Comunitat Valenciana,Parcial,"5.645,00"
"Alfàs del Pi, l'",Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"16.489,00"
Algorfa,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"39.000,00"
Algueña,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
ALICANTE/ALACANT,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"73.564,76"
Almoradí,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Almudaina,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"150,00"
"Alqueria d'Asnar, l'",Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"4.299,50"
ALTEA,Alacant/Alicante,Comunitat Valenciana,Parcial,"40.004,67"
Aspe,Alacant/Alicante,Comunitat Valenciana,Parcial,"35.884,52"
"Atzúbia, l'",Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"9.000,00"
Balones,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"300,00"
Banyeres de Mariola,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"44.521,96"
Benasau,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Beneixama,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"30.450,00"
BENEJÚZAR,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"33.189,00"
Benferri,Alacant/Alicante,Comunitat Valenciana,Parcial,"4.825,80"
Beniarbeig,Alacant/Alicante,Comunitat Valenciana,Parcial,"11.016,00"
Beniardá,Alacant/Alicante,Comunitat Valenciana,Parcial,"19.600,00"
Beniarrés,Alacant/Alicante,Comunitat Valenciana,Parcial,"15.705,34"
Benidoleig,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"32.995,48"
Benidorm,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"67.013,94"
Benifallim,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Benifato,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Benigembla,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"160,00"
Benijófar,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"30.538,48"
Benilloba,Alacant/Alicante,Comunitat Valenciana,Parcial,"14.499,54"
Benimantell,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"5.370,00"
Benimarfull,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"250,00"
Benimassot,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Benimeli,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"7.800,00"
Benissa,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"34.999,92"
Biar,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"2.640,00"
Bolulla,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"80,00"
Busot,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"7.475,00"
Callosa de Segura,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"37.500,00"
Callosa d'en Sarrià,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"39.900,00"
"Campello, el",Alacant/Alicante,Comunitat Valenciana,Exclusiva,"54.999,98"
"Campo de Mirra/Camp de Mirra, el",Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"300,00"
Cañada,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"200,00"
Castalla,Alacant/Alicante,Comunitat Valenciana,Parcial,"42.300,00"
"Castell de Guadalest, el",Alacant/Alicante,Comunitat Valenciana,Parcial,"32.261,77"
CATRAL,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"33.442,71"
Cocentaina,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"48.567,94"
Confrides,Alacant/Alicante,Comunitat Valenciana,Parcial,"4.900,00"
Cox,Alacant/Alicante,Comunitat Valenciana,Parcial,"23.053,65"
Crevillent,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"49.045,18"
Daya Nueva,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"25.200,00"
Daya Vieja,Alacant/Alicante,Comunitat Valenciana,Parcial,"31.500,00"
DÉNIA,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"52.999,94"
Dolores,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"13.210,00"
Elche/Elx,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"64.965,60"
Elda,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"61.538,82"
Facheca,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"600,00"
Famorca,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"300,00"
Finestrat,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"19.300,00"
"Fondó de les Neus, el/Hondón de las Nieves",Alacant/Alicante,Comunitat Valenciana,Parcial,"10.950,00"
Formentera del Segura,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"35.965,30"
Gaianes,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"560,00"
Gata de Gorgos,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"35.000,00"
Gorga,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Guardamar del Segura,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"48.000,12"
Hondón de los Frailes,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"1.100,00"
Ibi,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"52.523,10"
Jacarilla,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"33.216,00"
Jávea/Xàbia,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"21.108,00"
Llíber,Alacant/Alicante,Comunitat Valenciana,Parcial,"39.200,00"
"LORCHA/ORXA, L'",Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Millena,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"1.200,00"
Monforte del Cid,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"34.348,16"
Monóvar/Monòver,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"41.069,28"
"Montesinos, Los",Alacant/Alicante,Comunitat Valenciana,Exclusiva,"38.865,96"
Murla,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"4.300,00"
Muro de Alcoy,Alacant/Alicante,Comunitat Valenciana,Parcial,"28.350,00"
Novelda,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"37.050,52"
Ondara,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"41.167,14"
Onil,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"39.206,58"
Orba,Alacant/Alicante,Comunitat Valenciana,Parcial,"22.333,20"
Orihuela,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"66.142,53"
Parcent,Alacant/Alicante,Comunitat Valenciana,Parcial,"24.610,21"
Pedreguer,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"40.506,90"
Pego,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"47.357,80"
Penàguila,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Petrer,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"16.352,52"
Pilar de la Horadada,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"53.311,58"
"Pinós, el/Pinoso",Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"3.672,00"
Planes,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
"POBLETS, ELS",Alacant/Alicante,Comunitat Valenciana,Parcial,"29.004,00"
Polop,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"39.900,00"
Rafal,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"7.250,00"
"Ràfol d'Almúnia, el",Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"0,00"
Relleu,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"40.541,34"
Rojales,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"2.700,00"
"Romana, la",Alacant/Alicante,Comunitat Valenciana,Exclusiva,"27.230,00"
SAGRA,Alacant/Alicante,Comunitat Valenciana,Parcial,"10.641,48"
Salinas,Alacant/Alicante,Comunitat Valenciana,Parcial,"18.000,00"
San Fulgencio,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"42.000,00"
SAN ISIDRO,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"24.739,25"
SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"49.275,24"
Sanet y Negrals,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"5.640,00"
SANT JOAN D'ALACANT,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"42.883,37"
Santa Pola,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"40.663,40"
Sax,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"30.599,04"
Sella,Alacant/Alicante,Comunitat Valenciana,Parcial,"14.688,00"
Senija,Alacant/Alicante,Comunitat Valenciana,Parcial,"30.529,50"
Tàrbena,Alacant/Alicante,Comunitat Valenciana,Parcial,"9.000,00"
TEULADA,Alacant/Alicante,Comunitat Valenciana,Parcial,"33.831,41"
Tollos,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"150,00"
"TORREMANZANAS/TORRE DE LES MAÇANES, LA",Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"800,00"
Torrevieja,Alacant/Alicante,Comunitat Valenciana,Sin dedicación,"38.284,63"
Vall de Gallinera,Alacant/Alicante,Comunitat Valenciana,Parcial,"8.466,67"
"VALL DE LAGUAR, LA",Alacant/Alicante,Comunitat Valenciana,Parcial,"12.499,92"
"Vall d'Ebo, la",Alacant/Alicante,Comunitat Valenciana,Parcial,"600,00"
"Verger, el",Alacant/Alicante,Comunitat Valenciana,Parcial,"16.550,69"
"VILLAJOYOSA/VILA JOIOSA, LA",Alacant/Alicante,Comunitat Valenciana,Exclusiva,"59.539,76"
VILLENA,Alacant/Alicante,Comunitat Valenciana,Parcial,"11.824,82"
Xaló,Alacant/Alicante,Comunitat Valenciana,Exclusiva,"39.893,33"
Abengibre,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Alatoz,Albacete,Castilla-La Mancha,Sin dedicación,"450,00"
ALBACETE,Albacete,Castilla-La Mancha,Exclusiva,"65.668,68"
ALBATANA,Albacete,Castilla-La Mancha,Parcial,"21.377,16"
Alborea,Albacete,Castilla-La Mancha,Parcial,"20.880,02"
Alcadozo,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Alcalá del Júcar,Albacete,Castilla-La Mancha,Parcial,"16.139,00"
Alcaraz,Albacete,Castilla-La Mancha,Exclusiva,"29.406,00"
Alpera,Albacete,Castilla-La Mancha,Exclusiva,"24.808,57"
Ayna,Albacete,Castilla-La Mancha,Sin dedicación,"7.800,00"
"Ballestero, El",Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Balsa de Ves,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Bonete,Albacete,Castilla-La Mancha,Sin dedicación,"441,00"
"Bonillo, El",Albacete,Castilla-La Mancha,Exclusiva,"43.102,49"
Carcelén,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Casas de Juan Núñez,Albacete,Castilla-La Mancha,Parcial,"15.529,52"
Casas de Lázaro,Albacete,Castilla-La Mancha,Parcial,"32.484,38"
Casas de Ves,Albacete,Castilla-La Mancha,Parcial,"17.290,28"
Casas-Ibáñez,Albacete,Castilla-La Mancha,Exclusiva,"15.043,58"
Caudete,Albacete,Castilla-La Mancha,Exclusiva,"44.187,78"
Cenizate,Albacete,Castilla-La Mancha,Exclusiva,"22.400,00"
Chinchilla de Monte-Aragón,Albacete,Castilla-La Mancha,Sin dedicación,"11.430,00"
Corral-Rubio,Albacete,Castilla-La Mancha,Sin dedicación,"9.000,00"
Cotillas,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Elche de la Sierra,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Férez,Albacete,Castilla-La Mancha,Parcial,"25.310,64"
Fuente-Álamo,Albacete,Castilla-La Mancha,Sin dedicación,"8.100,00"
Fuentealbilla,Albacete,Castilla-La Mancha,Exclusiva,"37.954,39"
"Gineta, La",Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Golosalvo,Albacete,Castilla-La Mancha,Sin dedicación,"1.920,00"
Hellín,Albacete,Castilla-La Mancha,Exclusiva,"47.273,24"
"Herrera, La",Albacete,Castilla-La Mancha,Parcial,"15.920,10"
Higueruela,Albacete,Castilla-La Mancha,Parcial,"21.843,35"
Hoya-Gonzalo,Albacete,Castilla-La Mancha,Sin dedicación,"1.890,00"
Jorquera,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Letur,Albacete,Castilla-La Mancha,Parcial,"22.485,40"
Lezuza,Albacete,Castilla-La Mancha,Exclusiva,"30.000,04"
Liétor,Albacete,Castilla-La Mancha,Exclusiva,"20.571,48"
Madrigueras,Albacete,Castilla-La Mancha,Exclusiva,"34.118,00"
Masegoso,Albacete,Castilla-La Mancha,Sin dedicación,"645,00"
Minaya,Albacete,Castilla-La Mancha,Sin dedicación,"1.330,00"
Molinicos,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Montalvos,Albacete,Castilla-La Mancha,Sin dedicación,"350,00"
Montealegre del Castillo,Albacete,Castilla-La Mancha,Sin dedicación,"7.200,00"
Motilleja,Albacete,Castilla-La Mancha,Sin dedicación,"98,47"
Munera,Albacete,Castilla-La Mancha,Exclusiva,"32.667,88"
Navas de Jorquera,Albacete,Castilla-La Mancha,Sin dedicación,"1.078,44"
Nerpio,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Ossa de Montiel,Albacete,Castilla-La Mancha,Exclusiva,"31.673,04"
Peñascosa,Albacete,Castilla-La Mancha,Sin dedicación,"1.031,46"
Pétrola,Albacete,Castilla-La Mancha,Sin dedicación,"2.000,00"
Povedilla,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Pozo Cañada,Albacete,Castilla-La Mancha,Sin dedicación,"5.088,00"
Pozohondo,Albacete,Castilla-La Mancha,Exclusiva,"13.452,15"
Pozo-Lorente,Albacete,Castilla-La Mancha,Sin dedicación,"810,54"
Pozuelo,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
"Recueja, La",Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Riópar,Albacete,Castilla-La Mancha,Exclusiva,"33.875,80"
Robledo,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
"Roda, La",Albacete,Castilla-La Mancha,Sin dedicación,"14.120,00"
Salobre,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
San Pedro,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Socovos,Albacete,Castilla-La Mancha,Exclusiva,"26.806,29"
Tarazona de la Mancha,Albacete,Castilla-La Mancha,Sin dedicación,"890,00"
Tobarra,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
VALDEGANGA,Albacete,Castilla-La Mancha,Exclusiva,"25.379,10"
Vianos,Albacete,Castilla-La Mancha,Sin dedicación,"275,00"
Villa de Ves,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Villamalea,Albacete,Castilla-La Mancha,Exclusiva,"33.600,00"
Villapalacios,Albacete,Castilla-La Mancha,Parcial,"5.763,36"
Villarrobledo,Albacete,Castilla-La Mancha,Sin dedicación,"1.234,95"
Villatoya,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Villavaliente,Albacete,Castilla-La Mancha,Sin dedicación,"0,00"
Villaverde de Guadalimar,Albacete,Castilla-La Mancha,Sin dedicación,"150,00"
Yeste,Albacete,Castilla-La Mancha,Exclusiva,"33.494,86"
Abla,Almería,Andalucía,Exclusiva,"30.356,62"
Abrucena,Almería,Andalucía,Exclusiva,"34.270,18"
Adra,Almería,Andalucía,Exclusiva,"57.584,20"
Albanchez,Almería,Andalucía,Exclusiva,"23.572,48"
Alboloduy,Almería,Andalucía,Parcial,"24.300,04"
Albox,Almería,Andalucía,Exclusiva,"50.021,58"
Alcolea,Almería,Andalucía,Parcial,"25.547,62"
Alcóntar,Almería,Andalucía,Parcial,"30.457,38"
Alcudia de Monteagud,Almería,Andalucía,Sin dedicación,"250,00"
Alhama de Almería,Almería,Andalucía,Exclusiva,"33.379,78"
Alicún,Almería,Andalucía,Parcial,"15.970,04"
Almería,Almería,Andalucía,Exclusiva,"83.376,86"
Almócita,Almería,Andalucía,Sin dedicación,"1.080,00"
Alsodux,Almería,Andalucía,Sin dedicación,"800,00"
Antas,Almería,Andalucía,Exclusiva,"30.800,00"
Arboleas,Almería,Andalucía,Exclusiva,"42.399,98"
Armuña de Almanzora,Almería,Andalucía,Sin dedicación,"340,00"
Bacares,Almería,Andalucía,Parcial,"31.868,50"
Balanegra,Almería,Andalucía,Exclusiva,"35.000,00"
Bayárcal,Almería,Andalucía,Parcial,"10.962,76"
Bayarque,Almería,Andalucía,Parcial,"11.439,72"
Bédar,Almería,Andalucía,Parcial,"32.768,12"
Beires,Almería,Andalucía,Sin dedicación,"560,00"
Benahadux,Almería,Andalucía,Exclusiva,"40.488,00"
Benitagla,Almería,Andalucía,Sin dedicación,"0,00"
Benizalón,Almería,Andalucía,Sin dedicación,"5.000,00"
Bentarique,Almería,Andalucía,Sin dedicación,"0,00"
Berja,Almería,Andalucía,Exclusiva,"54.747,14"
Canjáyar,Almería,Andalucía,Parcial,"21.612,78"
Cantoria,Almería,Andalucía,Exclusiva,"43.407,14"
Carboneras,Almería,Andalucía,Exclusiva,"47.759,32"
Castro de Filabres,Almería,Andalucía,Sin dedicación,"0,00"
Chercos,Almería,Andalucía,Sin dedicación,"0,00"
Chirivel,Almería,Andalucía,Exclusiva,"29.400,00"
Cóbdar,Almería,Andalucía,Parcial,"8.484,00"
Cuevas del Almanzora,Almería,Andalucía,Exclusiva,"47.342,12"
Dalías,Almería,Andalucía,Exclusiva,"43.818,34"
"Ejido, El",Almería,Andalucía,Exclusiva,"64.844,50"
Enix,Almería,Andalucía,Sin dedicación,"0,00"
Felix,Almería,Andalucía,Parcial,"7.172,62"
Fines,Almería,Andalucía,Exclusiva,"42.452,20"
Fiñana,Almería,Andalucía,Exclusiva,"40.359,34"
"Gallardos, Los",Almería,Andalucía,Exclusiva,"34.329,00"
Garrucha,Almería,Andalucía,Exclusiva,"38.346,70"
Huécija,Almería,Andalucía,Exclusiva,"6.000,00"
Huércal de Almería,Almería,Andalucía,Sin dedicación,"11.310,00"
Huércal-Overa,Almería,Andalucía,Exclusiva,"50.000,00"
"Íllar",Almería,Andalucía,Sin dedicación,"7.410,00"
Instinción,Almería,Andalucía,Sin dedicación,"0,00"
Líjar,Almería,Andalucía,Parcial,"1.203,13"
Lubrín,Almería,Andalucía,Exclusiva,"36.404,48"
Lúcar,Almería,Andalucía,Sin dedicación,"1.150,00"
Macael,Almería,Andalucía,Exclusiva,"47.759,28"
María,Almería,Andalucía,Sin dedicación,"275,00"
Mojácar,Almería,Andalucía,Exclusiva,"43.400,00"
"Mojonera, La",Almería,Andalucía,Exclusiva,"45.999,94"
Nacimiento,Almería,Andalucía,Sin dedicación,"0,00"
Níjar,Almería,Andalucía,Exclusiva,"56.400,12"
Ohanes,Almería,Andalucía,Parcial,"16.624,17"
Olula del Río,Almería,Andalucía,Exclusiva,"40.600,00"
Oria,Almería,Andalucía,Exclusiva,"34.077,97"
Padules,Almería,Andalucía,Parcial,"3.242,04"
Paterna del Río,Almería,Andalucía,Parcial,"15.000,00"
Pechina,Almería,Andalucía,Exclusiva,"40.499,80"
Pulpí,Almería,Andalucía,Exclusiva,"49.244,02"
Purchena,Almería,Andalucía,Exclusiva,"5.050,00"
Rágol,Almería,Andalucía,Sin dedicación,"210,00"
Rioja,Almería,Andalucía,Sin dedicación,"0,00"
Roquetas de Mar,Almería,Andalucía,Exclusiva,"81.096,12"
Santa Cruz de Marchena,Almería,Andalucía,Parcial,"18.833,83"
Santa Fe de Mondújar,Almería,Andalucía,Parcial,"27.591,34"
Senés,Almería,Andalucía,Sin dedicación,"3.000,00"
Serón,Almería,Andalucía,Sin dedicación,"1.445,44"
Sierro,Almería,Andalucía,Parcial,"25.597,47"
Somontín,Almería,Andalucía,Sin dedicación,"2.250,00"
Sorbas,Almería,Andalucía,Sin dedicación,"9.990,00"
Suflí,Almería,Andalucía,Parcial,"22.806,70"
Tabernas,Almería,Andalucía,Exclusiva,"44.160,90"
Taberno,Almería,Andalucía,Sin dedicación,"220,00"
Tahal,Almería,Andalucía,Exclusiva,"22.834,00"
Terque,Almería,Andalucía,Sin dedicación,"6.210,00"
Tíjola,Almería,Andalucía,Exclusiva,"29.999,44"
"Tres Villas, Las",Almería,Andalucía,Parcial,"31.000,62"
Turre,Almería,Andalucía,Exclusiva,"26.508,66"
Turrillas,Almería,Andalucía,Parcial,"23.348,50"
Urrácal,Almería,Andalucía,Parcial,"26.892,42"
Velefique,Almería,Andalucía,Sin dedicación,"0,00"
Vélez-Blanco,Almería,Andalucía,Sin dedicación,"30,00"
Vélez-Rubio,Almería,Andalucía,Sin dedicación,"14.150,00"
Vera,Almería,Andalucía,Exclusiva,"43.225,56"
Viator,Almería,Andalucía,Exclusiva,"45.000,06"
Vícar,Almería,Andalucía,Exclusiva,"60.222,54"
Zurgena,Almería,Andalucía,Sin dedicación,"1.800,00"
Alegría-Dulantzi,Araba/Alava,País Vasco,Exclusiva,"39.417,14"
AMURRIO,Araba/Alava,País Vasco,Exclusiva,"65.333,48"
Añana,Araba/Alava,País Vasco,Sin dedicación,"0,00"
Aramaio,Araba/Alava,País Vasco,Exclusiva,"40.764,50"
Armiñón,Araba/Alava,País Vasco,Sin dedicación,"3.333,32"
Arraia-Maeztu,Araba/Alava,País Vasco,Parcial,"17.836,90"
Arratzua-Ubarrundia,Araba/Alava,País Vasco,Parcial,"19.490,24"
Artziniega,Araba/Alava,País Vasco,Exclusiva,"29.846,35"
Asparrena,Araba/Alava,País Vasco,Exclusiva,"50.467,20"
Ayala/Aiara,Araba/Alava,País Vasco,Exclusiva,"46.972,52"
Baños de Ebro/Mañueta,Araba/Alava,País Vasco,Sin dedicación,"0,00"
Barrundia,Araba/Alava,País Vasco,Parcial,"32.848,48"
Berantevilla,Araba/Alava,País Vasco,Parcial,"23.406,90"
Bernedo,Araba/Alava,País Vasco,Parcial,"17.338,90"
Campezo/Kanpezu,Araba/Alava,País Vasco,Exclusiva,"25.182,84"
Elburgo/Burgelu,Araba/Alava,País Vasco,Sin dedicación,"0,00"
Elciego,Araba/Alava,País Vasco,Parcial,"10.606,60"
Elvillar/Bilar,Araba/Alava,País Vasco,Sin dedicación,"0,00"
Erriberagoitia/Ribera Alta,Araba/Alava,País Vasco,Parcial,"27.419,10"
Harana/Valle de Arana,Araba/Alava,País Vasco,Sin dedicación,"6.910,00"
Iruña Oka/Iruña de Oca,Araba/Alava,País Vasco,Exclusiva,"53.621,84"
Iruraiz-Gauna,Araba/Alava,País Vasco,Parcial,"24.000,00"
Kripan,Araba/Alava,País Vasco,Sin dedicación,"0,00"
Kuartango,Araba/Alava,País Vasco,Sin dedicación,"0,00"
Labastida/Bastida,Araba/Alava,País Vasco,Sin dedicación,"660,00"
Lagrán,Araba/Alava,País Vasco,Sin dedicación,"7.986,00"
Laguardia,Araba/Alava,País Vasco,Sin dedicación,"600,00"
Lanciego/Lantziego,Araba/Alava,País Vasco,Parcial,"21.188,57"
Lantarón,Araba/Alava,País Vasco,Sin dedicación,"8.000,00"
Lapuebla de Labarca,Araba/Alava,País Vasco,Parcial,"23.875,00"
Laudio/Llodio,Araba/Alava,País Vasco,Exclusiva,"66.836,60"
Legutio,Araba/Alava,País Vasco,Parcial,"28.142,46"
Leza,Araba/Alava,País Vasco,Sin dedicación,"0,00"
Moreda de Álava/Moreda Araba,Araba/Alava,País Vasco,Sin dedicación,"960,00"
Navaridas,Araba/Alava,País Vasco,Sin dedicación,"0,00"
Okondo,Araba/Alava,País Vasco,Parcial,"24.099,60"
Oyón-Oion,Araba/Alava,País Vasco,Parcial,"21.839,08"
Peñacerrada-Urizaharra,Araba/Alava,País Vasco,Sin dedicación,"1.610,68"
Ribera Baja/Erribera Beitia,Araba/Alava,País Vasco,Exclusiva,"42.834,26"
Salvatierra/Agurain,Araba/Alava,País Vasco,Exclusiva,"62.438,46"
Samaniego,Araba/Alava,País Vasco,Sin dedicación,"0,00"
San Millán/Donemiliaga,Araba/Alava,País Vasco,Parcial,"21.864,80"
Urkabustaiz,Araba/Alava,País Vasco,Exclusiva,"23.543,24"
Valdegovía/Gaubea,Araba/Alava,País Vasco,Parcial,"23.257,78"
Villabuena de Álava/Eskuernaga,Araba/Alava,País Vasco,Sin dedicación,"300,50"
VITORIA-GASTEIZ,Araba/Alava,País Vasco,Exclusiva,"91.323,33"
Yécora/Iekora,Araba/Alava,País Vasco,Sin dedicación,"0,00"
Zalduondo,Araba/Alava,País Vasco,Sin dedicación,"330,00"
Zambrana,Araba/Alava,País Vasco,Parcial,"28.343,50"
Zigoitia,Araba/Alava,País Vasco,Exclusiva,"42.000,00"
Zuia,Araba/Alava,País Vasco,Parcial,"36.288,17"
Aller,Asturias,"Asturias, Principado de",Exclusiva,"41.668,76"
Amieva,Asturias,"Asturias, Principado de",Parcial,"26.250,00"
AVILÉS,Asturias,"Asturias, Principado de",Exclusiva,"58.165,52"
Belmonte de Miranda,Asturias,"Asturias, Principado de",Exclusiva,"34.132,84"
Bimenes,Asturias,"Asturias, Principado de",Exclusiva,"18.715,34"
Boal,Asturias,"Asturias, Principado de",Exclusiva,"26.903,52"
Cabrales,Asturias,"Asturias, Principado de",Exclusiva,"28.664,04"
Cabranes,Asturias,"Asturias, Principado de",Exclusiva,"20.180,00"
CANDAMO,Asturias,"Asturias, Principado de",Parcial,"32.149,60"
Cangas de Onís,Asturias,"Asturias, Principado de",Exclusiva,"40.290,04"
Caravia,Asturias,"Asturias, Principado de",Parcial,"23.058,00"
Caso,Asturias,"Asturias, Principado de",Sin dedicación,"7.447,10"
CASTRILLÓN,Asturias,"Asturias, Principado de",Exclusiva,"45.510,64"
Castropol,Asturias,"Asturias, Principado de",Exclusiva,"42.505,12"
Coaña,Asturias,"Asturias, Principado de",Exclusiva,"39.893,00"
Corvera de Asturias,Asturias,"Asturias, Principado de",Exclusiva,"40.909,82"
Cudillero,Asturias,"Asturias, Principado de",Exclusiva,"43.582,56"
DEGAÑA,Asturias,"Asturias, Principado de",Sin dedicación,"255,00"
"Franco, El",Asturias,"Asturias, Principado de",Exclusiva,"39.623,50"
GIJÓN,Asturias,"Asturias, Principado de",Exclusiva,"70.073,51"
Gozón,Asturias,"Asturias, Principado de",Exclusiva,"43.911,00"
Grado,Asturias,"Asturias, Principado de",Exclusiva,"44.584,58"
Grandas de Salime,Asturias,"Asturias, Principado de",Parcial,"15.939,62"
Ibias,Asturias,"Asturias, Principado de",Parcial,"15.750,00"
