Comunidad Autónoma,Año,CO2
CASTILLA Y LEÓN,2012,26330
CASTILLA Y LEÓN,2013,20837
CASTILLA Y LEÓN,2014,23069
CASTILLA Y LEÓN,2015,24641
CASTILLA Y LEÓN,2016,22254
CASTILLA Y LEÓN,2017,22166
CASTILLA Y LEÓN,2018,19117
CASTILLA Y LEÓN,2019,16163
CASTILLA Y LEÓN,2020,14692
CASTILLA Y LEÓN,2021,15515
CASTILLA Y LEÓN,2022,14569
CASTILLA-LA MANCHA,1990,14986
CASTILLA-LA MANCHA,1991,15529
CASTILLA-LA MANCHA,1992,15740
CASTILLA-LA MANCHA,1993,14078
CASTILLA-LA MANCHA,1994,15732
CASTILLA-LA MANCHA,1995,15341
CASTILLA-LA MANCHA,1996,16200
CASTILLA-LA MANCHA,1997,17409
CASTILLA-LA MANCHA,1998,18107
CASTILLA-LA MANCHA,1999,19633
CASTILLA-LA MANCHA,2000,20238
CASTILLA-LA MANCHA,2001,20591
CASTILLA-LA MANCHA,2002,20523
CASTILLA-LA MANCHA,2003,20247
CASTILLA-LA MANCHA,2004,21199
CASTILLA-LA MANCHA,2005,20358
CASTILLA-LA MANCHA,2006,20650
CASTILLA-LA MANCHA,2007,21883
CASTILLA-LA MANCHA,2008,19110
CASTILLA-LA MANCHA,2009,17761
CASTILLA-LA MANCHA,2010,16369
CASTILLA-LA MANCHA,2011,15674
CASTILLA-LA MANCHA,2012,14468
CASTILLA-LA MANCHA,2013,12808
CASTILLA-LA MANCHA,2014,12166
CASTILLA-LA MANCHA,2015,11502
CASTILLA-LA MANCHA,2016,11084
CASTILLA-LA MANCHA,2017,11075
CASTILLA-LA MANCHA,2018,11611
CASTILLA-LA MANCHA,2019,12147
CASTILLA-LA MANCHA,2020,10994
CASTILLA-LA MANCHA,2021,11325
CASTILLA-LA MANCHA,2022,11592
CATALUÑA,1990,34077
CATALUÑA,1991,34942
CATALUÑA,1992,36538
CATALUÑA,1993,35053
CATALUÑA,1994,39153
CATALUÑA,1995,44188
CATALUÑA,1996,43049
CATALUÑA,1997,42891
CATALUÑA,1998,43405
CATALUÑA,1999,45686
CATALUÑA,2000,47213
CATALUÑA,2001,45170
CATALUÑA,2002,44541
CATALUÑA,2003,47683
CATALUÑA,2004,49185
CATALUÑA,2005,51408
CATALUÑA,2006,50447
CATALUÑA,2007,51648
CATALUÑA,2008,48093
CATALUÑA,2009,45074
CATALUÑA,2010,43959
CATALUÑA,2011,41407
CATALUÑA,2012,38881
CATALUÑA,2013,36043
CATALUÑA,2014,36110
CATALUÑA,2015,36388
CATALUÑA,2016,37593
CATALUÑA,2017,38280
CATALUÑA,2018,38021
CATALUÑA,2019,38105
CATALUÑA,2020,34312
CATALUÑA,2021,35006
CATALUÑA,2022,35000
CEUTA,1990,697
CEUTA,1991,705
CEUTA,1992,710
CEUTA,1993,762
CEUTA,1994,761
CEUTA,1995,810
CEUTA,1996,875
CEUTA,1997,714
CEUTA,1998,806
CEUTA,1999,748
CEUTA,2000,625
CEUTA,2001,598
CEUTA,2002,628
CEUTA,2003,661
CEUTA,2004,651
CEUTA,2005,637
CEUTA,2006,759
CEUTA,2007,803
CEUTA,2008,696
CEUTA,2009,590
CEUTA,2010,539
CEUTA,2011,465
CEUTA,2012,452
CEUTA,2013,356
CEUTA,2014,334
CEUTA,2015,331
CEUTA,2016,354
CEUTA,2017,408
CEUTA,2018,431
CEUTA,2019,504
CEUTA,2020,395
CEUTA,2021,377
CEUTA,2022,458
COMUNIDAD VALENCIANA,1990,16390
COMUNIDAD VALENCIANA,1991,17463
COMUNIDAD VALENCIANA,1992,18187
COMUNIDAD VALENCIANA,1993,17449
COMUNIDAD VALENCIANA,1994,19418
COMUNIDAD VALENCIANA,1995,20930
COMUNIDAD VALENCIANA,1996,20882
COMUNIDAD VALENCIANA,1997,21639
COMUNIDAD VALENCIANA,1998,23613
COMUNIDAD VALENCIANA,1999,25731
COMUNIDAD VALENCIANA,2000,25812
COMUNIDAD VALENCIANA,2001,26018
COMUNIDAD VALENCIANA,2002,27469
COMUNIDAD VALENCIANA,2003,28149
COMUNIDAD VALENCIANA,2004,29435
COMUNIDAD VALENCIANA,2005,31034
COMUNIDAD VALENCIANA,2006,30165
COMUNIDAD VALENCIANA,2007,31862
COMUNIDAD VALENCIANA,2008,31895
COMUNIDAD VALENCIANA,2009,27740
COMUNIDAD VALENCIANA,2010,26673
COMUNIDAD VALENCIANA,2011,25134
COMUNIDAD VALENCIANA,2012,23477
COMUNIDAD VALENCIANA,2013,22916
COMUNIDAD VALENCIANA,2014,22961
COMUNIDAD VALENCIANA,2015,23625
COMUNIDAD VALENCIANA,2016,23565
COMUNIDAD VALENCIANA,2017,23702
COMUNIDAD VALENCIANA,2018,23718
COMUNIDAD VALENCIANA,2019,23801
COMUNIDAD VALENCIANA,2020,21537
COMUNIDAD VALENCIANA,2021,23351
COMUNIDAD VALENCIANA,2022,23270
EXTREMADURA,1990,2127
EXTREMADURA,1991,2311
EXTREMADURA,1992,2170
EXTREMADURA,1993,1861
EXTREMADURA,1994,2304
EXTREMADURA,1995,2198
EXTREMADURA,1996,2392
EXTREMADURA,1997,2542
EXTREMADURA,1998,2539
EXTREMADURA,1999,3151
EXTREMADURA,2000,3630
EXTREMADURA,2001,3749
EXTREMADURA,2002,5031
EXTREMADURA,2003,5528
EXTREMADURA,2004,5556
EXTREMADURA,2005,5836
EXTREMADURA,2006,6593
EXTREMADURA,2007,6818
EXTREMADURA,2008,6704
EXTREMADURA,2009,6397
EXTREMADURA,2010,6403
EXTREMADURA,2011,6250
EXTREMADURA,2012,6045
EXTREMADURA,2013,5733
EXTREMADURA,2014,5647
EXTREMADURA,2015,5671
EXTREMADURA,2016,5459
EXTREMADURA,2017,5874
EXTREMADURA,2018,5903
EXTREMADURA,2019,6089
EXTREMADURA,2020,5978
