Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_autonoma
Mazda,cx-7,7900,198000,2010,Diésel,173.0,ALICANTE,Manual,03550,Comunidad Valenciana
Renault,megane,6000,148000,2012,Gasolina,116.0,CORDOBA,Manual,14014,Andalucía
Peugeot,2008,16500,16335,2024,Gasolina,101.0,Villalba,Manual,28400,Madrid
Seat,arona,13000,48000,2020,Gasolina,150.0,ASPE,Manual,03680,Comunidad Valenciana
Seat,ateca,13990,53527,2018,Gasolina,116.0,riells,Manual,08415,Cataluña
Bmw,x3,11990,171213,2011,Diésel,184.0,VILABLAREIX,Automático,17180,Cataluña
Citroen,c4 cactus,8490,86711,2018,Gasolina,110.0,MADRID,Automático,28970,Madrid
Peugeot,2008,12799,68021,2022,Gasolina,101.0,ARDOZ,Manual,28850,Madrid
Hyundai,santa fe,3900,267000,2003,Diésel,111.0,PINTO,Manual,28320,Madrid
Hyundai,i20,7990,60980,2016,Gasolina,84.0,VILABLAREIX,Manual,17180,Cataluña
Mini,one,5950,162500,2007,Gasolina,,CORUÑA,Manual,15008,Galicia
Jaecoo,j7,25810,15,2025,Gasolina,147.0,MADRID,Automático,28914,Madrid
Citroen,c3,7800,107000,2017,Gasolina,82.0,Manises,Manual,46940,Comunidad Valenciana
Peugeot,1007,4000,149000,2006,Gasolina,90.0,LUGO,Manual,27003,Galicia
Peugeot,2008,12799,68021,2022,Gasolina,101.0,Gijón,Manual,33392,Asturias
Hyundai,i20,7990,60980,2016,Gasolina,84.0,VILABLAREIX,Manual,17180,Cataluña
Citroen,c3,7800,107000,2017,Gasolina,82.0,Manises,Manual,46940,Comunidad Valenciana
Peugeot,1007,4000,149000,2006,Gasolina,90.0,LUGO,Manual,27003,Galicia
Peugeot,2008,12799,68021,2022,Gasolina,101.0,Gijón,Manual,33392,Asturias
Bmw,x5,12490,249000,2009,Diésel,286.0,BASAURI,Automático,48970,País Vasco
Citroen,c3,6990,136210,2019,Diésel,99.0,MOSTOLES,Manual,28938,Madrid
Dacia,sandero,14900,12700,2024,Gasolina,91.0,Pinto,Manual,28320,Madrid
Mg,zs,11500,65000,2022,Gasolina,106.0,MADRID,Automático,28007,Madrid
Audi,a4,7499,213977,2009,Gasolina,160.0,AGOST,Manual,03698,Comunidad Valenciana
Renault,koleos,17900,99500,2017,Diésel,177.0,ARROYOMOLINOS,Automático,28939,Madrid
Audi,q2,17400,53500,2018,Gasolina,116.0,MALAGA,Manual,29004,Andalucía
Bmw,x5,7800,114000,2003,Diésel,218.0,Palafolls,Automático,08389,Cataluña
Honda,accord,11990,109000,2013,Diésel,150.0,LLOBREGAT,Manual,08820,Cataluña
Kia,sportage,18990,59899,2022,Gasolina,152.0,MADRID,Manual,28002,Madrid
Bmw,x3,16390,175000,2016,Diésel,150.0,HENARES,Manual,28802,Madrid
Mg,zs,15270,7352,2024,Gasolina,106.0,MADRID,Manual,28914,Madrid
Cupra,leon,23850,7554,2024,Gasolina,150.0,Manises,Automático,46940,Comunidad Valenciana
Volvo,s60,31600,67000,2021,Electro/Gasolina,405.0,REYES,Automático,28703,Madrid
Audi,a6,15700,254968,2018,Diésel,150.0,MALAGA,Automático,29004,Andalucía
Mitsubishi,outlander,8500,140000,2009,Diésel,140.0,GELVES,Manual,41120,Andalucía
Bmw,m4,62900,182900,2022,Gasolina,510.0,PINTO,Automático,28320,Madrid
Jeep,grand cherokee,15490,183317,2012,Diésel,241.0,CUENCA,Automático,26004,La Rioja
Bmw,x5,14990,220840,2010,Diésel,306.0,MADRID,Automático,28046,Madrid
Land rover,freelander,7999,230000,2008,Diésel,160.0,BRACAMONTE,Automático,37300,Castilla y León
Mercedes-benz,gla 220,16490,132000,2014,Diésel,170.0,PARLA,Automático,28982,Madrid
Audi,a5,16900,148085,2016,Gasolina,177.0,TERRASSA,Manual,08226,Cataluña
