Marca,Modelo,Precio,KM,Año,Tipo_de_combustible,CV,Ubicacion,Transmision,Codigo_postal,Comunidad_Autonoma
Mitsubishi,outlander,7999,250000,2013,Diésel,150.0,BEGIJAR,Automático,23520,Andalucía
Bmw,m4,62900,182900,2022,Gasolina,510.0,PINTO,Automático,28320,Comunidad de Madrid
Mazda,cx-7,7900,198000,2010,Diésel,173.0,ALICANTE,Manual,03550,Comunidad Valenciana
Alfa romeo,4c,64900,26900,2016,Gasolina,241.0,MARBELLA,Automático,29660,Andalucía
Opel,vectra,2300,216000,2002,Gasolina,122.0,ASTORGA,Manual,24700,Castilla y León
Ford,focus,7500,145000,2015,Gasolina,125.0,Parla,Manual,28983,Comunidad de Madrid
Fiat,tipo,6800,155000,2018,Gas licuado (GLP),120.0,Parla,Manual,28983,Comunidad de Madrid
Toyota,unknown,12100,54080,2023,Gasolina,72.0,Alicante,Manual,,Desconocida
Opel,corsa,13490,6340,2024,Gasolina,101.0,HARO,Manual,26200,La Rioja
Seat,arona,13000,48000,2020,Gasolina,150.0,ASPE,Manual,03680,Comunidad Valenciana
Bmw,x4,34900,108400,2021,Diésel,190.0,ARROYOMOLINOS,Automático,28939,Comunidad de Madrid
Bmw,x3,11990,171213,2011,Diésel,184.0,VILABLAREIX,Automático,17180,Cataluña
Hyundai,santa fe,3900,267000,2003,Diésel,111.0,PINTO,Manual,28320,Comunidad de Madrid
Jaecoo,j7,25810,15,2025,Gasolina,147.0,MADRID,Automático,28914,Comunidad de Madrid
Citroen,c3,7800,107000,2017,Gasolina,82.0,Manises,Manual,46940,Comunidad Valenciana
Peugeot,1007,4000,149000,2006,Gasolina,90.0,LUGO,Manual,27003,Galicia
Opel,zafira,6800,210000,2013,Diésel,131.0,MADRID,Manual,28038,Comunidad de Madrid
Mg,tf,6900,110000,2003,Gasolina,135.0,BERRIOZAR,Manual,31013,Comunidad Foral de Navarra
Audi,q2,17400,53500,2018,Gasolina,116.0,MALAGA,Manual,29004,Andalucía
Citroen,c5,5700,211000,2012,Diésel,140.0,BERRIOPLANO/BERRIOBEITI,Manual,31195,Comunidad Foral de Navarra
Volvo,xc40,15000,264565,2020,Diésel,150.0,ASTORGA,Automático,24700,Castilla y León
Honda,accord,11990,109000,2013,Diésel,150.0,LLOBREGAT,Manual,08820,Cataluña
Mercedes-benz,gla 220,16490,132000,2014,Diésel,170.0,PARLA,Automático,28982,Comunidad de Madrid
Volvo,s60,31600,67000,2021,Electro/Gasolina,405.0,REYES,Automático,28703,Comunidad de Madrid
Opel,corsa,9490,23982,2021,Gasolina,75.0,POBLET,Manual,46930,Comunidad Valenciana
Citroen,c4,5900,139000,2007,Diésel,109.0,Parla,Manual,28983,Comunidad de Madrid
Volkswagen,golf,10499,134833,2013,Diésel,110.0,SEVILLA,Manual,41001,Andalucía
Peugeot,207,5500,63000,2007,Gasolina,75.0,VALENCIA,Manual,46019,Comunidad Valenciana
Jeep,grand cherokee,15490,183317,2012,Diésel,241.0,CUENCA,Automático,26004,La Rioja
Mercedes-benz,amg gt,89000,17000,2018,Gasolina,522.0,MANRESA,Automático,08242,Cataluña
Mercedes-benz,gle 400,58900,155000,2021,Diésel,330.0,MALAGA,Automático,29004,Andalucía
Audi,a5,16900,148085,2016,Gasolina,177.0,TERRASSA,Manual,08226,Cataluña
Fiat,grande punto,2900,213000,2010,Gasolina,65.0,MADRID,Manual,28007,Comunidad de Madrid
Peugeot,2008,18490,20857,2024,Gasolina,131.0,Villalba,Automático,28400,Comunidad de Madrid
Bmw,x2,16790,129900,2021,Gasolina,140.0,REYES,Automático,28703,Comunidad de Madrid
Mercedes-benz,gle 400,67950,96000,2021,Diésel,330.0,RIO,Automático,41100,Andalucía
Bmw,x5,14990,220840,2010,Diésel,306.0,MADRID,Automático,28046,Comunidad de Madrid
Mercedes-benz,gle 400,58900,155000,2021,Diésel,330.0,MALAGA,Automático,29004,Andalucía
Audi,a5,16900,148085,2016,Gasolina,177.0,TERRASSA,Manual,08226,Cataluña
Fiat,grande punto,2900,213000,2010,Gasolina,65.0,MADRID,Manual,28007,Comunidad de Madrid
Peugeot,2008,18490,20857,2024,Gasolina,131.0,Villalba,Automático,28400,Comunidad de Madrid
Bmw,x2,16790,129900,2021,Gasolina,140.0,REYES,Automático,28703,Comunidad de Madrid
Mercedes-benz,gle 400,67950,96000,2021,Diésel,330.0,RIO,Automático,41100,Andalucía
Bmw,x5,14990,220840,2010,Diésel,306.0,MADRID,Automático,28046,Comunidad de Madrid
Volkswagen,golf gti,12000,141000,2011,Gasolina,211.0,LUGO,Manual,27003,Galicia
Dacia,duster,9000,143450,2015,Diésel,110.0,FUENLABRADA,Manual,28946,Comunidad de Madrid
Audi,a3,7500,269000,2007,Diésel,140.0,CORUÑA,Manual,15270,Galicia
Volkswagen,touran,10990,143000,2011,Diésel,105.0,LLOBREGAT,Manual,08950,Cataluña
Peugeot,3008,6490,200000,2012,Diésel,150.0,HENARES,Manual,28802,Comunidad de Madrid
Renault,arkana,17863,83402,2022,Electro/Gasolina,143.0,MADRID,Automático,28019,Comunidad de Madrid
Bmw,320,19400,221000,2021,Diésel,190.0,ARROYOMOLINOS,Automático,28939,Comunidad de Madrid
Cupra,ateca,36890,9900,2024,Gasolina,300.0,VALLES,Automático,,Desconocida
Seat,ibiza,8990,66000,2012,Diésel,105.0,LLOBREGAT,Manual,08820,Cataluña
