Comunidad Autónoma,Año,CO2,lat,lon
BALEARES,1996,7018,39.613432,2.8829185
BALEARES,1997,7067,39.613432,2.8829185
BALEARES,1998,7553,39.613432,2.8829185
BALEARES,1999,8224,39.613432,2.8829185
BALEARES,2000,8485,39.613432,2.8829185
BALEARES,2001,8632,39.613432,2.8829185
BALEARES,2002,8896,39.613432,2.8829185
BALEARES,2003,10419,39.613432,2.8829185
BALEARES,2004,10066,39.613432,2.8829185
BALEARES,2005,10153,39.613432,2.8829185
BALEARES,2006,10204,39.613432,2.8829185
BALEARES,2007,10398,39.613432,2.8829185
BALEARES,2008,10461,39.613432,2.8829185
BALEARES,2009,10321,39.613432,2.8829185
BALEARES,2010,10186,39.613432,2.8829185
BALEARES,2011,9726,39.613432,2.8829185
BALEARES,2012,9125,39.613432,2.8829185
BALEARES,2013,8248,39.613432,2.8829185
BALEARES,2014,7875,39.613432,2.8829185
BALEARES,2015,8071,39.613432,2.8829185
BALEARES,2016,825,39.613432,2.8829185
BALEARES,2017,8873,39.613432,2.8829185
BALEARES,2018,9194,39.613432,2.8829185
BALEARES,2019,8535,39.613432,2.8829185
BALEARES,2020,5697,39.613432,2.8829185
BALEARES,2021,6937,39.613432,2.8829185
BALEARES,2022,7516,39.613432,2.8829185
CANARIAS,1990,8231,28.2935785,-16.6214471
CANARIAS,1991,8067,28.2935785,-16.6214471
CANARIAS,1992,82,28.2935785,-16.6214471
CANARIAS,1993,8523,28.2935785,-16.6214471
CANARIAS,1994,9144,28.2935785,-16.6214471
CANARIAS,1995,9152,28.2935785,-16.6214471
CANARIAS,1996,11538,28.2935785,-16.6214471
CANARIAS,1997,11474,28.2935785,-16.6214471
CANARIAS,1998,12326,28.2935785,-16.6214471
CANARIAS,1999,15083,28.2935785,-16.6214471
CANARIAS,2000,15474,28.2935785,-16.6214471
CANARIAS,2001,16249,28.2935785,-16.6214471
CANARIAS,2002,16303,28.2935785,-16.6214471
CANARIAS,2003,16753,28.2935785,-16.6214471
CANARIAS,2004,18803,28.2935785,-16.6214471
CANARIAS,2005,19303,28.2935785,-16.6214471
CANARIAS,2006,17701,28.2935785,-16.6214471
CANARIAS,2007,17663,28.2935785,-16.6214471
CANARIAS,2008,18292,28.2935785,-16.6214471
CANARIAS,2009,15925,28.2935785,-16.6214471
CANARIAS,2010,1575,28.2935785,-16.6214471
CANARIAS,2011,14529,28.2935785,-16.6214471
CANARIAS,2012,14677,28.2935785,-16.6214471
CANARIAS,2013,13588,28.2935785,-16.6214471
CANARIAS,2014,1325,28.2935785,-16.6214471
CANARIAS,2015,13035,28.2935785,-16.6214471
CANARIAS,2016,13449,28.2935785,-16.6214471
CANARIAS,2017,13775,28.2935785,-16.6214471
CANARIAS,2018,13568,28.2935785,-16.6214471
CANARIAS,2019,13418,28.2935785,-16.6214471
CANARIAS,2020,11073,28.2935785,-16.6214471
CANARIAS,2021,11869,28.2935785,-16.6214471
CANARIAS,2022,12698,28.2935785,-16.6214471
CANTABRIA,1990,4219,43.1595664,-4.0878382
CANTABRIA,1991,4165,43.1595664,-4.0878382
CANTABRIA,1992,3897,43.1595664,-4.0878382
CANTABRIA,1993,3694,43.1595664,-4.0878382
CANTABRIA,1994,4402,43.1595664,-4.0878382
CANTABRIA,1995,4971,43.1595664,-4.0878382
CANTABRIA,1996,4321,43.1595664,-4.0878382
CANTABRIA,1997,4603,43.1595664,-4.0878382
CANTABRIA,1998,4974,43.1595664,-4.0878382
CANTABRIA,1999,484,43.1595664,-4.0878382
CANTABRIA,2000,5039,43.1595664,-4.0878382
CANTABRIA,2001,5418,43.1595664,-4.0878382
CANTABRIA,2002,5836,43.1595664,-4.0878382
CANTABRIA,2003,5918,43.1595664,-4.0878382
CANTABRIA,2004,6147,43.1595664,-4.0878382
CANTABRIA,2005,62,43.1595664,-4.0878382
CANTABRIA,2006,6299,43.1595664,-4.0878382
CANTABRIA,2007,6415,43.1595664,-4.0878382
CANTABRIA,2008,6304,43.1595664,-4.0878382
CANTABRIA,2009,5555,43.1595664,-4.0878382
CANTABRIA,2010,5871,43.1595664,-4.0878382
CANTABRIA,2011,5455,43.1595664,-4.0878382
CANTABRIA,2012,5451,43.1595664,-4.0878382
CANTABRIA,2013,482,43.1595664,-4.0878382
CANTABRIA,2014,5055,43.1595664,-4.0878382
CANTABRIA,2015,5055,43.1595664,-4.0878382
CANTABRIA,2016,4922,43.1595664,-4.0878382
CANTABRIA,2017,5272,43.1595664,-4.0878382
CANTABRIA,2018,5449,43.1595664,-4.0878382
CANTABRIA,2019,5513,43.1595664,-4.0878382
CANTABRIA,2020,4745,43.1595664,-4.0878382
CANTABRIA,2021,5133,43.1595664,-4.0878382
CANTABRIA,2022,4851,43.1595664,-4.0878382
